Score : 100	 Joueur : Raphael
Score : 50	 Joueur : Bojol
Score : 50	 Joueur : KOOKK
Score : 50	 Joueur : lokkohjo;
Score : 25	 Joueur : Banjdue
Score : 25	 Joueur : Bankai
Score : 25	 Joueur : Bankai
Score : 25	 Joueur : bessel
Score : 25	 Joueur : Bessel
Score : 25	 Joueur : BJEFOKDFLZE
Score : 25	 Joueur : B&nj&
Score : 25	 Joueur : Jijd
Score : 25	 Joueur : LPLP
Score : 25	 Joueur : mlmjj
Score : 25	 Joueur : mmpmponkjiuhiu
Score : 25	 Joueur : NONONOONO
Score : 25	 Joueur : R,DZKs
Score : 0	 Joueur : lop
